variant,model,pr_auc_mean,pr_auc_std,status
without_f3912,lightgbm_baseline,0.6141642026800002,0.04737398924678847,ACCEPTED (leakage-free)
with_f3912,REJECTED_leakage_lgbm_with_F3912,0.9418964496190211,0.011857199514170413,REJECTED LEAKAGE - never used
