tier_threshold,threshold,tp,fp,fn,tn,precision,recall,f1,fp_per_1000_legit
critical,0.9638304837100166,12,0,5,1801,1.0,0.7058823529411765,0.8275862068965517,0.0
urgent,0.048153197236171764,13,5,4,1796,0.7222222222222222,0.7647058823529411,0.7428571428571428,2.77623542476402
standard,0.017246147513913988,13,8,4,1793,0.6190476190476191,0.7647058823529411,0.6842105263157895,4.441976679622432
