feature,target_corr,single_feature_cv_pr_auc,single_feature_cv_roc_auc,mutual_information_bits,label_reconstruction_rate,identifier_like,flag_high_corr,flag_high_single_ap,flag_label_copy,flag_perfect_separation,flag_identifier,suspicious
F29,0.011086426230285067,0.013018561996320264,0.5595281012182773,0.002649679405446556,0.0,false,false,false,false,false,false,false
F30,0.04106112647706081,0.014342244496355083,0.6320205208934396,0.0029743094899992864,0.0,false,false,false,false,false,false,false
F31,0.05966169682576405,0.011765411739376114,0.5533634642201319,0.0008274152744262547,0.0,false,false,false,false,false,false,false
F32,0.05966169682576405,0.011765411739376114,0.5533634642201319,0.0008274152744262547,0.0,false,false,false,false,false,false,false
F33,0.06651130631868361,0.012165770422461544,0.5640187454863492,0.0008469676784461455,0.0,false,false,false,false,false,false,false
F34,0.06651130631868361,0.012165770422461544,0.5640187454863492,0.0008469676784461455,0.0,false,false,false,false,false,false,false
F35,0.014300929209541033,0.00941112808120661,0.5262351997619333,0.0007223026619626917,0.0,false,false,false,false,false,false,false
F36,0.0,0.00892659283753514,0.5000555247084952,0.000021364475847114347,0.0,false,false,false,false,false,false,false
F37,0.014376378050652599,0.009410024064171626,0.5261796442063778,0.0007187464285708483,0.0,false,false,false,false,false,false,false
F38,0.014432845109202598,0.009406681565693163,0.5260129775397111,0.000719577684169507,0.0,false,false,false,false,false,false,false
F39,0.0,0.00892562090512089,0.4999444135973842,0.00002136447584711435,0.0,false,false,false,false,false,false,false
F40,0.014498013508141842,0.009405580137967473,0.5259574219841555,0.0007163072320801327,0.0,false,false,false,false,false,false,false
F41,0.02132069587387833,0.009620371691879764,0.5367739218952434,0.001756711440507195,0.0,false,false,false,false,false,false,false
F42,0.0,0.008959396531629088,0.500722098833981,0.0000985716529343855,0.0,false,false,false,false,false,false,false
F43,0.021477124160931126,0.00957706157469784,0.5346630575606145,0.0016611161535115297,0.0,false,false,false,false,false,false,false
F44,0.020869208453149726,0.00961811219422258,0.5366628107841322,0.001756310045092822,0.0,false,false,false,false,false,false,false
F45,0.0,0.008959199681833568,0.5007775926954162,0.00009857165293422573,0.0,false,false,false,false,false,false,false
F46,0.021058166652983552,0.009574812779208923,0.5345519464495034,0.0016607032821887692,0.0,false,false,false,false,false,false,false
F47,0.07924311852099447,0.011588810066653216,0.5353529003494791,0.0006639369714136361,0.5,false,false,false,false,false,false,false
F48,0.0,0.008943283509421914,0.5013887655006478,0.00008853714165215729,0.0,false,false,false,false,false,false,false
F49,0.08430178072983678,0.011836639535996432,0.5373951449448926,0.0007072529217414622,0.5,false,false,false,false,false,false,false
F50,0.0690494345240676,0.011481658405587855,0.5293810634886936,0.0006470836166521325,0.0,false,false,false,false,false,false,false
F51,0.0,0.008943283509421914,0.5013887655006478,0.00008853714165215729,0.0,false,false,false,false,false,false,false
F52,0.07421193662186064,0.011768858375909694,0.5314474093912966,0.0007132316895727968,0.0,false,false,false,false,false,false,false
F53,0.042279621294972515,0.01263067515773717,0.598181833894024,0.001965215382733962,0.0,false,false,false,false,false,false,false
F54,0.03213864583657968,0.011594022578843228,0.5713850423058359,0.001308598782194418,0.0,false,false,false,false,false,false,false
F55,0.056774318272569846,0.01196605721931016,0.5685675776302561,0.002728461633836418,0.0,false,false,false,false,false,false,false
F56,0.029699365557407847,0.0120520925051528,0.5753340994064662,0.002036848070141457,0.0,false,false,false,false,false,false,false
F57,0.023734583389126474,0.011233611862172818,0.5520091341320909,0.0011829206685248835,0.0,false,false,false,false,false,false,false
F58,0.05039284093480857,0.011851397060420234,0.5678135964315395,0.0026335625903731964,0.0,false,false,false,false,false,false,false
F59,0.05247076326400659,0.01894519539123938,0.6352992459708295,0.0049186235207992965,0.0,false,false,false,false,false,false,false
F60,0.032245707109155405,0.015796248375085573,0.6127026642787412,0.0038241763862092164,0.0,false,false,false,false,false,false,false
F61,0.0650989410261056,0.02463266730704484,0.6450016702775873,0.006832749464924957,0.0,false,false,false,false,false,false,false
F62,0.046741416151437516,0.02026518427134371,0.658857931028695,0.006524140204538193,0.0,false,false,false,false,false,false,false
